title,company,link,id,upload_date,purge_date,status
"Ethics & Compliance Officer, Gulf",GSK,https://gsk.wd5.myworkdayjobs.com/en-us/GSKCareers/job/UAE---Dubai/Ethics---Compliance-Officer--Gulf_355109,355109,2022-12-06,2022-12-09,expired
"Director, Value Evidence & Outcomes (VEO) - General Medicine",GSK,https://gsk.wd5.myworkdayjobs.com/en-us/GSKCareers/job/Singapore---Rochester-Park/Director--Value-Evidence---Outcomes--VEO----General-Medicine_353225,353225,2022-12-06,2022-12-10,expired
Financial Planning - Analysis Manager - Gulf,Novartis,https://www.novartis.com/careers/career-search/job-details/357260br/financial-planning-analysis-manager-gulf,357260br,2022-12-06,2022-12-15,expired
Labelling Lead Gulf - Levant,Novartis,https://www.novartis.com/careers/career-search/job-details/358051br/labelling-lead-gulf-levant,358051br,2022-12-06,2022-12-15,expired
Product Specialist Bio (Oncology),Novartis,https://www.novartis.com/careers/career-search/job-details/357692br/product-specialist-bio-oncology,357692br,2022-12-06,2022-12-15,expired
"Product Specialist, Bio (Immunology)",Novartis,https://www.novartis.com/careers/career-search/job-details/357695br/product-specialist-bio-immunology,357695br,2022-12-06,2023-02-04,expired
"Therapeutic Area Partner (MS) – Dubai, UAE",Novartis,https://www.novartis.com/careers/career-search/job-details/356902br/therapeutic-area-partner-ms-dubai-uae,356902br,2022-12-06,2022-12-15,expired
"DRA Associate, UAE",Novartis,https://www.novartis.com/careers/career-search/job-details/356002br/dra-associate-uae,356002br,2022-12-06,2022-12-15,expired
"Medical Representative, UAE",Novartis,https://www.novartis.com/careers/career-search/job-details/356245br/medical-representative-uae,356245br,2022-12-06,2022-12-15,expired
Digital Solutions Manager,Astrazeneca,https://careers.astrazeneca.com//job/dubai/digital-solutions-manager/7684/40974399840,40974399840,2022-12-06,2022-12-16,expired
Acute Care Project Manager - Gulf,Astrazeneca,https://careers.astrazeneca.com//job/dubai/acute-care-project-manager-gulf/7684/40696133440,40696133440,2022-12-06,2022-12-17,expired
Account Manager - Private Market,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Account-Manager---Private-Market_4872990-1,4872990,2022-12-06,2022-12-10,expired
Consumer Brand Manager,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Consumer-Brand-Manager_4872994-1,4872994,2022-12-06,2022-12-10,expired
Professional health representative - Abu Dhabi,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Professional-health-representative---Abu-Dhabi_4872557,4872557,2022-12-06,2022-12-09,expired
Medical Science Liaison Migraine,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Medical-Science-Liaison-Migraine_4872630-1,4872630,2022-12-06,2022-12-09,expired
"Professional Health Representative , Inflammation & Immunology , Abu Dhabi",Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Professional-Health-Representative---Inflammation---Immunology---Abu-Dhabi_4863924-1,4863924,2022-12-06,2022-12-07,expired
Commercial Quality Lead,Jonson Jonson,https://jobs.jnj.com//en/jobs/2206091337w/commercial-quality-lead/,2206091337w,2022-12-06,2022-12-19,expired
Assistant Brand Manager Intern,Jonson Jonson,https://jobs.jnj.com//en/jobs/2206088307w/assistant-brand-manager-intern/,2206088307w,2022-12-06,2023-01-27,expired
Intern - CHC TME Analyst,Sanofi,https://en.jobs.sanofi.com/job/dubai/intern-chc-tme-analyst/20873/40586026192,40586026192,2022-12-06,2022-12-15,expired
Product Specialist - Specialty - Abu Dhabi,AbbVie,https://careers.abbvie.com//en/job/abu-dhabi/product-specialist-specialty-abu-dhabi/14/40691134400,40691134400,2022-12-06,2022-12-08,expired
GCC Medical Associate Director - Rare Disease,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-medical-associate-director-rare-disease/7684/41085615984,41085615984,2022-12-07,2022-12-18,expired
GCC Business Unit Director - Rare Disease,Astrazeneca,https://careers.astrazeneca.com//job/dubai/gcc-business-unit-director-rare-disease/7684/41085615552,41085615552,2022-12-07,2022-12-18,expired
Talent Acquisition Partner Early In Career EMEA in Dubai,Jonson Jonson,https://jobs.jnj.com//en/jobs/2206094224w/talent-acquisition-partner-early-in-career-emea-in-dubai/,2206094224w,2022-12-07,2023-02-28,expired
Medical Representative Abu Dhabi,Boehringer Ingelheim,https://tas-boehringer.taleo.net/careersection/global+template+career+section+28external29/jobdetail.ftl?job=2215253,2215253,2022-12-07,2023-01-27,expired
Administration Intern,Boehringer Ingelheim,https://tas-boehringer.taleo.net/careersection/global+template+career+section+28external29/jobdetail.ftl?job=2215092,2215092,2022-12-07,2023-01-18,expired
Associate Principal - PPG (Payer/Provider/Government) - Healthcare Consulting Saudi Arabia,IQVIA,https://jobs.iqvia.com//job/riyadh/associate-principal-ppg-payer-provider-government-healthcare-consulting-saudi-arabia/24443/41075085232,R1338527,2022-12-07,2022-12-14,expired
Regulatory Affairs Manager UAE– GDD,Novartis,https://www.novartis.com/careers/career-search/job-details/358047br/regulatory-affairs-manager-uae-gdd,358047br,2022-12-08,2022-12-15,expired
Senior Technology Auditor,Jonson Jonson,https://jobs.jnj.com//en/jobs/2206071847w/senior-technology-auditor/,2206071847w,2022-12-09,2023-03-20,expired
Business Planning Co-Ordinator - VIE Contract (W/M),Sanofi,https://en.jobs.sanofi.com/job/dubai/business-planning-co-ordinator-vie-contract-w-m/20873/41144784528,41144784528,2022-12-09,2023-02-04,expired
 Medical Representative - Kuwait ,STADA,https://jobs.stada.com/job/Medical-Representative-Kuwait/874608601,874608601,2022-12-12,2023-01-01,expired
Franchise Head Synagis,Astrazeneca,https://careers.astrazeneca.com//job/jeddah/franchise-head-synagis/7684/41544886512,41544886512,2022-12-16,2022-12-29,expired
Franchise Head Severe Asthma (Fasenra/Tezspire),Astrazeneca,https://careers.astrazeneca.com//job/dubai/franchise-head-severe-asthma-fasenra-tezspire/7684/41544886448,41544886448,2022-12-16,2022-12-29,expired
Franchise Head COVID,Astrazeneca,https://careers.astrazeneca.com//job/dubai/franchise-head-covid/7684/41544870416,41544870416,2022-12-16,2022-12-29,expired
